HS12,CPC
520929,26620
520931,26620
520932,26620
520939,26620
520941,26620
520942,26620
520943,26620
520949,26620
520951,26620
520952,26620
520959,26620
521011,26630
521019,26630
521021,26630
521029,26630
521031,26630
521032,26630
521039,26630
521041,26630
521049,26630
521051,26630
521059,26630
521111,26630
521112,26630
521119,26630
521120,26630
521131,26630
521132,26630
521139,26630
521141,26630
521142,26630
521143,26630
521149,26630
521151,26630
521152,26630
521159,26630
521211,26690
521212,26690
521213,26690
521214,26690
521215,26690
521221,26690
521222,26690
521223,26690
521224,26690
521225,26690
540710,26710
540720,26710
540730,26710
540810,26710
540741,26720
540742,26720
540743,26720
540744,26720
540751,26720
540752,26720
540753,26720
540754,26720
540761,26720
540769,26720
540771,26720
540772,26720
540773,26720
540774,26720
540821,26720
540822,26720
540823,26720
540824,26720
540781,26730
540782,26730
540783,26730
540784,26730
540791,26730
540792,26730
540793,26730
540794,26730
540831,26730
540832,26730
540833,26730
540834,26730
551211,26740
551219,26740
551221,26740
551229,26740
551291,26740
551299,26740
551611,26750
551612,26750
551613,26750
551614,26750
551311,26760
551312,26760
551313,26760
551319,26760
551321,26760
551323,26760
551329,26760
551331,26760
551339,26760
551341,26760
551349,26760
551411,26760
551412,26760
551419,26760
551421,26760
551422,26760
551423,26760
551429,26760
551430,26760
551441,26760
551442,26760
551443,26760
551449,26760
551641,26760
551642,26760
551643,26760
551644,26760
551513,26770
551522,26770
551631,26770
551632,26770
551633,26770
551634,26770
551511,26790
551512,26790
551519,26790
551521,26790
551529,26790
551591,26790
551599,26790
551621,26790
551622,26790
551623,26790
551624,26790
551691,26790
551692,26790
551693,26790
551694,26790
580121,26810
580122,26810
580123,26810
580126,26810
580127,26810
580131,26820
580132,26820
580133,26820
580136,26820
580137,26820
580110,26830
580190,26830
580211,26840
580219,26840
580220,26850
580300,26860
580230,26880
701940,26890
701951,26890
701952,26890
701959,26890
630120,27110
630130,27110
630140,27110
630190,27110
630210,27120
630221,27120
630222,27120
630229,27120
630231,27120
630232,27120
630239,27120
630240,27120
630251,27120
630253,27120
630259,27120
630260,27120
630291,27120
630293,27120
630299,27120
630312,27130
630319,27130
630391,27130
630392,27130
630399,27130
580500,27140
630411,27140
630419,27140
630491,27140
630492,27140
630493,27140
630499,27140
630800,27140
630510,27150
630520,27150
630532,27150
630533,27150
630539,27150
630590,27150
630612,27160
630619,27160
630622,27160
630629,27160
630630,27160
630640,27160
630690,27160
880400,27170
940430,27180
940490,27180
630710,27190
630720,27190
630790,27190
570110,27210
570190,27210
570210,27220
570220,27220
570231,27220
570232,27220
570239,27220
570241,27220
570242,27220
570249,27220
570250,27220
570291,27220
570292,27220
570299,27220
570310,27230
570320,27230
570330,27230
570390,27230
570410,27290
570490,27290
570500,27290
560721,27310
560729,27310
560741,27310
560749,27310
560750,27310
560790,27310
560811,27320
560819,27320
560890,27320
560900,27320
580610,27911
580620,27911
580631,27911
580632,27911
580639,27911
580640,27911
580710,27911
580790,27911
580810,27911
580890,27911
580410,27912
580421,27912
580429,27912
580430,27912
581010,27913
581091,27913
581092,27913
581099,27913
560210,27921
560221,27921
560229,27921
560290,27921
560311,27922
560312,27922
560313,27922
560314,27922
560391,27922
560392,27922
560393,27922
560394,27922
560121,27991
560122,27991
560129,27991
560130,27991
560410,27992
560490,27992
560500,27993
580900,27994
560600,27995
590210,27996
590220,27996
590290,27996
590110,27997
590190,27997
590310,27997
590320,27997
590390,27997
590700,27997
590800,27998
590900,27998
591000,27998
591110,27998
591120,27998
591131,27998
591132,27998
591140,27998
591190,27998
581100,27999
600110,28110
600121,28110
600122,28110
600129,28110
600191,28110
600192,28110
600199,28110
600240,28190
600290,28190
600310,28190
600320,28190
600330,28190
600340,28190
600390,28190
600410,28190
600490,28190
600521,28190
600522,28190
600523,28190
600524,28190
600531,28190
600532,28190
600533,28190
600534,28190
600541,28190
600542,28190
600543,28190
600544,28190
600590,28190
600610,28190
600621,28190
600622,28190
